emp_id,Full_Name,Department,Job_Title,hire_date,Performance_Rating,Experience_Years,Status,Work_Mode,salary,Country,City,Age,Job_Level,Hire_Year,Tenure_Years,Years_Since_Hire,Is_Active,Performance_Score,Salary_Band,Hire_Month,Hire_Quarter
EMP-00001,Laurent Pages,Operations,Operations Analyst,17-02-2011,Good,34,Active,On-site,52733,Germany,Frankfurt,47,Director,2011,15.5,15,1,3,Low,2,1
EMP-00002,Gilbert Diallo,HR,HR Coordinator,06-02-2010,Good,0,Active,On-site,125959,Netherlands,Rotterdam,34,Mid,2010,16.5,16,1,3,High,2,1
EMP-00003,Dr. Linus Diaz,IT,IT Manager,29-07-2022,Satisfactory,2,Active,Hybrid,55443,Netherlands,The Hague,41,Junior,2022,4,4,1,2,Medium,7,3
EMP-00004,Olivia Nowak,HR,HR Director,23-02-2008,Satisfactory,6,Active,Remote,88178,Netherlands,Utrecht,50,Director,2008,18.5,18,1,2,Medium,2,1
EMP-00005,Dott. Felix Zwaben,Operations,Operations Manager,29-10-2012,Needs Improvement,19,Active,Remote,52489,Spain,Barcelona,26,Senior,2012,13.8,14,1,1,Low,10,4
EMP-00006,Jan-Marco Kohler,Operations,Operations Analyst,16-07-2021,Satisfactory,3,Active,Remote,56409,United Kingdom,Madrid,23,Senior,2021,5.1,5,1,2,Medium,7,3
EMP-00007,Dott. Andree Reed,Sales,Business Development,07-10-2009,Excellent,28,Active,On-site,35000,United Kingdom,Edinburgh,52,Junior,2009,16.8,17,1,4,Low,10,4
EMP-00008,Sig.Ra Elena Henk,HR,HR Coordinator,20-10-2023,Satisfactory,30,Resigned,On-site,47592,United Kingdom,Manchester,52,Mid,2023,2.8,3,0,2,Low,10,4
EMP-00009,Univ.Prof. Franck Pages,Sales,Regional Lead,07-04-2010,Satisfactory,35,Active,On-site,35000,United Kingdom,Leeds,39,Mid,2010,16.3,16,1,2,Low,4,2
EMP-00010,Prof. Clara Rees,IT,Data Engineer,20-12-2015,Satisfactory,11,Active,On-site,35000,Netherlands,The Hague,51,Director,2015,10.6,11,1,2,Low,12,4
EMP-00011,Dott. Patricia Coolen,Finance,Accountant,29-03-2022,Excellent,21,Active,Remote,65492,Italy,Milan,50,Senior,2022,4.4,4,1,4,Medium,3,1
EMP-00012,Andree Wirth,HR,Recruiter,08-06-2023,Excellent,32,Active,Hybrid,67821,France,Lyon,48,Junior,2023,3.2,3,1,4,Medium,6,2
EMP-00013,Dipl.-Ing. Lesley Pages,HR,Talent Specialist,07-06-2026,Satisfactory,22,Active,On-site,84883,Spain,Bilbao,38,Mid,2026,0.2,0,1,2,Medium,6,2
EMP-00014,Mr Lee-Sarah Diaz,Operations,Logistics,21-01-2015,Satisfactory,18,Active,On-site,68295,Spain,Madrid,21,Mid,2015,11.5,11,1,2,Medium,1,1
EMP-00015,Mr Lucas Eimer,HR,HR Director,16-03-2011,Good,25,Active,On-site,48006,Poland,Lodz,52,Director,2011,15.4,15,1,3,Low,3,1
EMP-00016,Dott. Micha Velderman,Finance,Financial Analyst,09-02-2021,Good,35,Active,On-site,110313,Poland,Poznan,40,Mid,2021,5.5,5,1,3,High,2,1
EMP-00017,Mr Maartje Colas,Sales,Sales Director,06-06-2019,Needs Improvement,14,Resigned,On-site,131959,Poland,Krakow,31,Senior,2019,7.2,7,0,1,High,6,2
